name,description,price,link
Camel Trench Coat #1 #24 #47 #70 #93,Classic and sophisticated trench coat in camel color.,27.44,https://www.example.com/camel-trench-coat
Olive Green Blouse #2 #25 #48 #71 #94,Stylish blouse in olive green that complements warm skin tones.,82.01,https://www.example.com/olive-green-blouse
Rust Colored Sweater #3 #26 #49 #72 #95,Cozy and warm rust-colored sweater for the colder months.,43.22,https://www.example.com/rust-colored-sweater
Dark Wash Jeans #4 #27 #50 #73 #96,Flattering dark wash jeans that pair well with various outfits.,91.84,https://www.example.com/dark-wash-jeans
Tan Leather Handbag #5 #28 #51 #74 #97,Timeless tan leather handbag that matches almost any outfit.,25.18,https://www.example.com/tan-leather-handbag
Olive Green Ankle Boots #6 #29 #52 #75 #98,Chic olive green ankle boots to complement casual outfits.,71.5,https://www.example.com/olive-green-ankle-boots
Camel Ankle Boots #7 #30 #53 #76 #99,Classic camel-colored ankle boots perfect for casual wear.,96.44,https://www.example.com/camel-ankle-boots
Gold Necklace #8 #31 #54 #77 #100,Elegant gold necklace to accessorize your outfit.,78.5,https://www.example.com/gold-necklace
Tan Leather Belt #9 #32 #55 #78 #101,A versatile tan leather belt that adds sophistication to any outfit.,50.23,https://www.example.com/tan-leather-belt
Brown Sunglasses #10 #33 #56 #79 #102,Stylish brown sunglasses to complement your warm undertones.,68.92,https://www.example.com/brown-sunglasses
Camel Scarf #11 #34 #57 #80 #103,Warm camel-colored scarf perfect for layering.,67.55,https://www.example.com/camel-scarf
Rust Colored Dress #12 #35 #58 #81 #104,Elegant rust-colored dress for special events.,28.75,https://www.example.com/rust-colored-dress
Tailored Trousers #13 #36 #59 #82 #105,Polished tailored trousers for professional wear.,22.46,https://www.example.com/tailored-trousers
Tan Loafers #14 #37 #60 #83 #106,Comfortable and elegant tan loafers perfect for office wear.,95.06,https://www.example.com/tan-loafers
Gold Hoop Earrings #15 #38 #61 #84 #107,Simple and elegant gold hoop earrings for any occasion.,58.83,https://www.example.com/gold-hoop-earrings
Denim Jacket #16 #39 #62 #85 #108,Classic denim jacket to add a casual touch to your outfits.,96.05,https://www.example.com/denim-jacket
Camel Tote Bag #17 #40 #63 #86 #109,Versatile camel tote bag that fits all your essentials.,48.79,https://www.example.com/camel-tote-bag
Rust Colored Scarf #18 #41 #64 #87 #110,Soft and stylish rust-colored scarf for extra warmth and style.,69.12,https://www.example.com/rust-colored-scarf
Camel Wool Sweater #19 #42 #65 #88 #111,Warm camel wool sweater perfect for layering.,89.82,https://www.example.com/camel-wool-sweater
Olive Green Cardigan #20 #43 #66 #89 #112,"Comfy olive green cardigan for a relaxed, casual look.",52.47,https://www.example.com/olive-green-cardigan
Camel Pleated Skirt #21 #44 #67 #90 #113,Sophisticated pleated skirt in camel color for professional outfits.,85.72,https://www.example.com/camel-pleated-skirt
Dark Wash Denim Skirt #22 #45 #68 #91 #114,Flattering dark wash denim skirt for casual occasions.,81.53,https://www.example.com/dark-wash-denim-skirt
Tan Crossbody Bag #23 #46 #69 #92 #115,Functional and chic tan crossbody bag for everyday use.,49.07,https://www.example.com/tan-crossbody-bag
Camel Trench Coat #1 #24 #47 #70 #93,Classic and sophisticated trench coat in camel color.,27.44,https://www.example.com/camel-trench-coat
Olive Green Blouse #2 #25 #48 #71 #94,Stylish blouse in olive green that complements warm skin tones.,82.01,https://www.example.com/olive-green-blouse
Rust Colored Sweater #3 #26 #49 #72 #95,Cozy and warm rust-colored sweater for the colder months.,43.22,https://www.example.com/rust-colored-sweater
Dark Wash Jeans #4 #27 #50 #73 #96,Flattering dark wash jeans that pair well with various outfits.,91.84,https://www.example.com/dark-wash-jeans
Tan Leather Handbag #5 #28 #51 #74 #97,Timeless tan leather handbag that matches almost any outfit.,25.18,https://www.example.com/tan-leather-handbag
Olive Green Ankle Boots #6 #29 #52 #75 #98,Chic olive green ankle boots to complement casual outfits.,71.5,https://www.example.com/olive-green-ankle-boots
Camel Ankle Boots #7 #30 #53 #76 #99,Classic camel-colored ankle boots perfect for casual wear.,96.44,https://www.example.com/camel-ankle-boots
Gold Necklace #8 #31 #54 #77 #100,Elegant gold necklace to accessorize your outfit.,78.5,https://www.example.com/gold-necklace
Tan Leather Belt #9 #32 #55 #78 #101,A versatile tan leather belt that adds sophistication to any outfit.,50.23,https://www.example.com/tan-leather-belt
Brown Sunglasses #10 #33 #56 #79 #102,Stylish brown sunglasses to complement your warm undertones.,68.92,https://www.example.com/brown-sunglasses
Camel Scarf #11 #34 #57 #80 #103,Warm camel-colored scarf perfect for layering.,67.55,https://www.example.com/camel-scarf
Rust Colored Dress #12 #35 #58 #81 #104,Elegant rust-colored dress for special events.,28.75,https://www.example.com/rust-colored-dress
Tailored Trousers #13 #36 #59 #82 #105,Polished tailored trousers for professional wear.,22.46,https://www.example.com/tailored-trousers
Tan Loafers #14 #37 #60 #83 #106,Comfortable and elegant tan loafers perfect for office wear.,95.06,https://www.example.com/tan-loafers
Gold Hoop Earrings #15 #38 #61 #84 #107,Simple and elegant gold hoop earrings for any occasion.,58.83,https://www.example.com/gold-hoop-earrings
Denim Jacket #16 #39 #62 #85 #108,Classic denim jacket to add a casual touch to your outfits.,96.05,https://www.example.com/denim-jacket
Camel Tote Bag #17 #40 #63 #86 #109,Versatile camel tote bag that fits all your essentials.,48.79,https://www.example.com/camel-tote-bag
Rust Colored Scarf #18 #41 #64 #87 #110,Soft and stylish rust-colored scarf for extra warmth and style.,69.12,https://www.example.com/rust-colored-scarf
Camel Wool Sweater #19 #42 #65 #88 #111,Warm camel wool sweater perfect for layering.,89.82,https://www.example.com/camel-wool-sweater
Olive Green Cardigan #20 #43 #66 #89 #112,"Comfy olive green cardigan for a relaxed, casual look.",52.47,https://www.example.com/olive-green-cardigan
Camel Pleated Skirt #21 #44 #67 #90 #113,Sophisticated pleated skirt in camel color for professional outfits.,85.72,https://www.example.com/camel-pleated-skirt
Dark Wash Denim Skirt #22 #45 #68 #91 #114,Flattering dark wash denim skirt for casual occasions.,81.53,https://www.example.com/dark-wash-denim-skirt
Tan Crossbody Bag #23 #46 #69 #92 #115,Functional and chic tan crossbody bag for everyday use.,49.07,https://www.example.com/tan-crossbody-bag
Camel Trench Coat #1 #24 #47 #70 #93,Classic and sophisticated trench coat in camel color.,27.44,https://www.example.com/camel-trench-coat
Olive Green Blouse #2 #25 #48 #71 #94,Stylish blouse in olive green that complements warm skin tones.,82.01,https://www.example.com/olive-green-blouse
Rust Colored Sweater #3 #26 #49 #72 #95,Cozy and warm rust-colored sweater for the colder months.,43.22,https://www.example.com/rust-colored-sweater
Dark Wash Jeans #4 #27 #50 #73 #96,Flattering dark wash jeans that pair well with various outfits.,91.84,https://www.example.com/dark-wash-jeans
Tan Leather Handbag #5 #28 #51 #74 #97,Timeless tan leather handbag that matches almost any outfit.,25.18,https://www.example.com/tan-leather-handbag
Olive Green Ankle Boots #6 #29 #52 #75 #98,Chic olive green ankle boots to complement casual outfits.,71.5,https://www.example.com/olive-green-ankle-boots
Camel Ankle Boots #7 #30 #53 #76 #99,Classic camel-colored ankle boots perfect for casual wear.,96.44,https://www.example.com/camel-ankle-boots
Gold Necklace #8 #31 #54 #77 #100,Elegant gold necklace to accessorize your outfit.,78.5,https://www.example.com/gold-necklace
Tan Leather Belt #9 #32 #55 #78 #101,A versatile tan leather belt that adds sophistication to any outfit.,50.23,https://www.example.com/tan-leather-belt
Brown Sunglasses #10 #33 #56 #79 #102,Stylish brown sunglasses to complement your warm undertones.,68.92,https://www.example.com/brown-sunglasses
Camel Scarf #11 #34 #57 #80 #103,Warm camel-colored scarf perfect for layering.,67.55,https://www.example.com/camel-scarf
Rust Colored Dress #12 #35 #58 #81 #104,Elegant rust-colored dress for special events.,28.75,https://www.example.com/rust-colored-dress
Tailored Trousers #13 #36 #59 #82 #105,Polished tailored trousers for professional wear.,22.46,https://www.example.com/tailored-trousers
Tan Loafers #14 #37 #60 #83 #106,Comfortable and elegant tan loafers perfect for office wear.,95.06,https://www.example.com/tan-loafers
Gold Hoop Earrings #15 #38 #61 #84 #107,Simple and elegant gold hoop earrings for any occasion.,58.83,https://www.example.com/gold-hoop-earrings
Denim Jacket #16 #39 #62 #85 #108,Classic denim jacket to add a casual touch to your outfits.,96.05,https://www.example.com/denim-jacket
Camel Tote Bag #17 #40 #63 #86 #109,Versatile camel tote bag that fits all your essentials.,48.79,https://www.example.com/camel-tote-bag
Rust Colored Scarf #18 #41 #64 #87 #110,Soft and stylish rust-colored scarf for extra warmth and style.,69.12,https://www.example.com/rust-colored-scarf
Camel Wool Sweater #19 #42 #65 #88 #111,Warm camel wool sweater perfect for layering.,89.82,https://www.example.com/camel-wool-sweater
Olive Green Cardigan #20 #43 #66 #89 #112,"Comfy olive green cardigan for a relaxed, casual look.",52.47,https://www.example.com/olive-green-cardigan
Camel Pleated Skirt #21 #44 #67 #90 #113,Sophisticated pleated skirt in camel color for professional outfits.,85.72,https://www.example.com/camel-pleated-skirt
Dark Wash Denim Skirt #22 #45 #68 #91 #114,Flattering dark wash denim skirt for casual occasions.,81.53,https://www.example.com/dark-wash-denim-skirt
Tan Crossbody Bag #23 #46 #69 #92 #115,Functional and chic tan crossbody bag for everyday use.,49.07,https://www.example.com/tan-crossbody-bag
Camel Trench Coat #1 #24 #47 #70 #93,Classic and sophisticated trench coat in camel color.,27.44,https://www.example.com/camel-trench-coat
Olive Green Blouse #2 #25 #48 #71 #94,Stylish blouse in olive green that complements warm skin tones.,82.01,https://www.example.com/olive-green-blouse
Rust Colored Sweater #3 #26 #49 #72 #95,Cozy and warm rust-colored sweater for the colder months.,43.22,https://www.example.com/rust-colored-sweater
Dark Wash Jeans #4 #27 #50 #73 #96,Flattering dark wash jeans that pair well with various outfits.,91.84,https://www.example.com/dark-wash-jeans
Tan Leather Handbag #5 #28 #51 #74 #97,Timeless tan leather handbag that matches almost any outfit.,25.18,https://www.example.com/tan-leather-handbag
Olive Green Ankle Boots #6 #29 #52 #75 #98,Chic olive green ankle boots to complement casual outfits.,71.5,https://www.example.com/olive-green-ankle-boots
Camel Ankle Boots #7 #30 #53 #76 #99,Classic camel-colored ankle boots perfect for casual wear.,96.44,https://www.example.com/camel-ankle-boots
Gold Necklace #8 #31 #54 #77 #100,Elegant gold necklace to accessorize your outfit.,78.5,https://www.example.com/gold-necklace
Tan Leather Belt #9 #32 #55 #78 #101,A versatile tan leather belt that adds sophistication to any outfit.,50.23,https://www.example.com/tan-leather-belt
Brown Sunglasses #10 #33 #56 #79 #102,Stylish brown sunglasses to complement your warm undertones.,68.92,https://www.example.com/brown-sunglasses
Camel Scarf #11 #34 #57 #80 #103,Warm camel-colored scarf perfect for layering.,67.55,https://www.example.com/camel-scarf
Rust Colored Dress #12 #35 #58 #81 #104,Elegant rust-colored dress for special events.,28.75,https://www.example.com/rust-colored-dress
Tailored Trousers #13 #36 #59 #82 #105,Polished tailored trousers for professional wear.,22.46,https://www.example.com/tailored-trousers
Tan Loafers #14 #37 #60 #83 #106,Comfortable and elegant tan loafers perfect for office wear.,95.06,https://www.example.com/tan-loafers
Gold Hoop Earrings #15 #38 #61 #84 #107,Simple and elegant gold hoop earrings for any occasion.,58.83,https://www.example.com/gold-hoop-earrings
Denim Jacket #16 #39 #62 #85 #108,Classic denim jacket to add a casual touch to your outfits.,96.05,https://www.example.com/denim-jacket
Camel Tote Bag #17 #40 #63 #86 #109,Versatile camel tote bag that fits all your essentials.,48.79,https://www.example.com/camel-tote-bag
Rust Colored Scarf #18 #41 #64 #87 #110,Soft and stylish rust-colored scarf for extra warmth and style.,69.12,https://www.example.com/rust-colored-scarf
Camel Wool Sweater #19 #42 #65 #88 #111,Warm camel wool sweater perfect for layering.,89.82,https://www.example.com/camel-wool-sweater
Olive Green Cardigan #20 #43 #66 #89 #112,"Comfy olive green cardigan for a relaxed, casual look.",52.47,https://www.example.com/olive-green-cardigan
Camel Pleated Skirt #21 #44 #67 #90 #113,Sophisticated pleated skirt in camel color for professional outfits.,85.72,https://www.example.com/camel-pleated-skirt
Dark Wash Denim Skirt #22 #45 #68 #91 #114,Flattering dark wash denim skirt for casual occasions.,81.53,https://www.example.com/dark-wash-denim-skirt
Tan Crossbody Bag #23 #46 #69 #92 #115,Functional and chic tan crossbody bag for everyday use.,49.07,https://www.example.com/tan-crossbody-bag
Camel Trench Coat #1 #24 #47 #70 #93,Classic and sophisticated trench coat in camel color.,27.44,https://www.example.com/camel-trench-coat
Olive Green Blouse #2 #25 #48 #71 #94,Stylish blouse in olive green that complements warm skin tones.,82.01,https://www.example.com/olive-green-blouse
Rust Colored Sweater #3 #26 #49 #72 #95,Cozy and warm rust-colored sweater for the colder months.,43.22,https://www.example.com/rust-colored-sweater
Dark Wash Jeans #4 #27 #50 #73 #96,Flattering dark wash jeans that pair well with various outfits.,91.84,https://www.example.com/dark-wash-jeans
Tan Leather Handbag #5 #28 #51 #74 #97,Timeless tan leather handbag that matches almost any outfit.,25.18,https://www.example.com/tan-leather-handbag
Olive Green Ankle Boots #6 #29 #52 #75 #98,Chic olive green ankle boots to complement casual outfits.,71.5,https://www.example.com/olive-green-ankle-boots
Camel Ankle Boots #7 #30 #53 #76 #99,Classic camel-colored ankle boots perfect for casual wear.,96.44,https://www.example.com/camel-ankle-boots
Gold Necklace #8 #31 #54 #77 #100,Elegant gold necklace to accessorize your outfit.,78.5,https://www.example.com/gold-necklace
Tan Leather Belt #9 #32 #55 #78 #101,A versatile tan leather belt that adds sophistication to any outfit.,50.23,https://www.example.com/tan-leather-belt
Brown Sunglasses #10 #33 #56 #79 #102,Stylish brown sunglasses to complement your warm undertones.,68.92,https://www.example.com/brown-sunglasses
Camel Scarf #11 #34 #57 #80 #103,Warm camel-colored scarf perfect for layering.,67.55,https://www.example.com/camel-scarf
Rust Colored Dress #12 #35 #58 #81 #104,Elegant rust-colored dress for special events.,28.75,https://www.example.com/rust-colored-dress
Tailored Trousers #13 #36 #59 #82 #105,Polished tailored trousers for professional wear.,22.46,https://www.example.com/tailored-trousers
Tan Loafers #14 #37 #60 #83 #106,Comfortable and elegant tan loafers perfect for office wear.,95.06,https://www.example.com/tan-loafers
Gold Hoop Earrings #15 #38 #61 #84 #107,Simple and elegant gold hoop earrings for any occasion.,58.83,https://www.example.com/gold-hoop-earrings
Denim Jacket #16 #39 #62 #85 #108,Classic denim jacket to add a casual touch to your outfits.,96.05,https://www.example.com/denim-jacket
Camel Tote Bag #17 #40 #63 #86 #109,Versatile camel tote bag that fits all your essentials.,48.79,https://www.example.com/camel-tote-bag
Rust Colored Scarf #18 #41 #64 #87 #110,Soft and stylish rust-colored scarf for extra warmth and style.,69.12,https://www.example.com/rust-colored-scarf
Camel Wool Sweater #19 #42 #65 #88 #111,Warm camel wool sweater perfect for layering.,89.82,https://www.example.com/camel-wool-sweater
Olive Green Cardigan #20 #43 #66 #89 #112,"Comfy olive green cardigan for a relaxed, casual look.",52.47,https://www.example.com/olive-green-cardigan
Camel Pleated Skirt #21 #44 #67 #90 #113,Sophisticated pleated skirt in camel color for professional outfits.,85.72,https://www.example.com/camel-pleated-skirt
Dark Wash Denim Skirt #22 #45 #68 #91 #114,Flattering dark wash denim skirt for casual occasions.,81.53,https://www.example.com/dark-wash-denim-skirt
Tan Crossbody Bag #23 #46 #69 #92 #115,Functional and chic tan crossbody bag for everyday use.,49.07,https://www.example.com/tan-crossbody-bag
